,2015,2020,2025,2030,2035,2040,2045,2050
AT,0.14,0.2142857142857143,0.2885714285714286,0.3628571428571429,0.43714285714285717,0.5114285714285715,0.5857142857142857,0.66
BA,0.0,0.05714285714285715,0.1142857142857143,0.17142857142857143,0.2285714285714286,0.28571428571428575,0.34285714285714286,0.4
BE,0.0,0.13999999999999999,0.27999999999999997,0.41999999999999993,0.5599999999999999,0.7,0.8399999999999999,0.98
BG,0.16,0.24285714285714285,0.32571428571428573,0.4085714285714286,0.49142857142857144,0.5742857142857143,0.6571428571428571,0.74
CH,0.04,0.13999999999999999,0.24,0.33999999999999997,0.43999999999999995,0.5399999999999999,0.64,0.74
CZ,0.4,0.4471428571428572,0.49428571428571433,0.5414285714285714,0.5885714285714285,0.6357142857142857,0.6828571428571428,0.73
DE,0.14,0.22714285714285715,0.3142857142857143,0.40142857142857147,0.4885714285714286,0.5757142857142857,0.6628571428571429,0.75
DK,0.64,0.6742857142857143,0.7085714285714286,0.7428571428571429,0.7771428571428571,0.8114285714285714,0.8457142857142858,0.88
EE,0.52,0.5428571428571429,0.5657142857142857,0.5885714285714286,0.6114285714285714,0.6342857142857143,0.6571428571428573,0.68
ES,0.0,0.1142857142857143,0.2285714285714286,0.34285714285714286,0.4571428571428572,0.5714285714285715,0.6857142857142857,0.8
FI,0.39,0.4542857142857143,0.5185714285714286,0.5828571428571429,0.6471428571428571,0.7114285714285714,0.7757142857142857,0.84
FR,0.06,0.1657142857142857,0.27142857142857146,0.37714285714285717,0.4828571428571429,0.5885714285714285,0.6942857142857144,0.8
GB,0.02,0.1357142857142857,0.2514285714285714,0.3671428571428571,0.4828571428571428,0.5985714285714285,0.7142857142857142,0.83
GR,0.0,0.11142857142857143,0.22285714285714286,0.3342857142857143,0.44571428571428573,0.5571428571428572,0.6685714285714286,0.78
HR,0.07,0.1442857142857143,0.21857142857142858,0.29285714285714287,0.36714285714285716,0.44142857142857145,0.5157142857142858,0.59
HU,0.12,0.2042857142857143,0.2885714285714286,0.37285714285714283,0.45714285714285713,0.5414285714285714,0.6257142857142857,0.71
IE,0.0,0.09,0.18,0.27,0.36,0.44999999999999996,0.54,0.63
IT,0.03,0.12428571428571428,0.21857142857142856,0.31285714285714283,0.40714285714285714,0.5014285714285714,0.5957142857142856,0.69
LT,0.56,0.5757142857142857,0.5914285714285715,0.6071428571428572,0.6228571428571429,0.6385714285714286,0.6542857142857144,0.67
LU,0.0,0.1285714285714286,0.2571428571428572,0.3857142857142858,0.5142857142857143,0.6428571428571429,0.7714285714285716,0.9
LV,0.3,0.35285714285714287,0.4057142857142857,0.4585714285714286,0.5114285714285715,0.5642857142857143,0.6171428571428572,0.67
NL,0.04,0.16285714285714287,0.2857142857142857,0.40857142857142853,0.5314285714285715,0.6542857142857144,0.7771428571428571,0.9
NO,0.03,0.14,0.25,0.36,0.47,0.5800000000000001,0.6900000000000001,0.8
PL,0.41,0.43857142857142856,0.46714285714285714,0.49571428571428566,0.5242857142857142,0.5528571428571428,0.5814285714285714,0.61
PT,0.0,0.09,0.18,0.27,0.36,0.44999999999999996,0.54,0.63
RO,0.23,0.27571428571428575,0.32142857142857145,0.3671428571428572,0.4128571428571429,0.45857142857142863,0.5042857142857143,0.55
RS,0.27,0.31142857142857144,0.35285714285714287,0.39428571428571435,0.4357142857142857,0.4771428571428572,0.5185714285714287,0.56
SE,0.51,0.56,0.61,0.66,0.71,0.76,0.81,0.86
SI,0.09,0.14857142857142858,0.20714285714285713,0.2657142857142857,0.3242857142857143,0.3828571428571429,0.4414285714285714,0.5
SK,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54
