,2020,2025,2030,2035,2040,2045,2050
AT,0.0,0.0,0.05,0.07,0.11,0.13,0.14
BA,0.0,0.01,0.01,0.02,0.03,0.04,0.04
BE,0.01,0.01,0.04,0.09,0.14,0.17,0.2
BG,0.0,0.0,0.02,0.04,0.05,0.06,0.06
CH,0.01,0.01,0.07,0.08,0.13,0.13,0.13
CZ,0.0,0.0,0.02,0.04,0.04,0.05,0.07
DE,0.02,0.02,0.02,0.04,0.07,0.09,0.12
DK,0.0,0.0,0.0,0.0,0.0,0.0,0.01
EE,0.0,0.0,0.0,0.0,0.0,0.01,0.02
ES,0.0,0.02,0.03,0.06,0.07,0.08,0.08
FI,0.0,0.0,0.0,0.0,0.01,0.02,0.02
FR,0.0,0.0,0.02,0.03,0.03,0.04,0.05
GB,0.01,0.01,0.01,0.01,0.03,0.04,0.06
GR,0.01,0.02,0.04,0.08,0.08,0.09,0.1
HR,0.0,0.04,0.05,0.09,0.12,0.13,0.17
HU,0.0,0.0,0.01,0.02,0.03,0.03,0.04
IE,0.0,0.0,0.0,0.01,0.03,0.03,0.04
IT,0.01,0.04,0.06,0.13,0.15,0.17,0.19
LT,0.0,0.0,0.0,0.01,0.01,0.01,0.01
LU,0.01,0.01,0.3,0.4,0.59,0.64,0.74
LV,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,0.01,0.01,0.02,0.05,0.08,0.11,0.16
NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PL,0.0,0.0,0.01,0.02,0.02,0.02,0.03
PT,0.0,0.02,0.03,0.04,0.05,0.05,0.05
RO,0.0,0.0,0.0,0.01,0.01,0.01,0.02
RS,0.0,0.0,0.02,0.02,0.04,0.04,0.05
SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SI,0.0,0.0,0.02,0.03,0.04,0.04,0.09
SK,0.0,0.0,0.03,0.05,0.05,0.07,0.08
